iter	RMSE
0	72533.55079
1	68294.61108
2	64214.4427
3	60792.29437
4	57766.74155
5	54650.09683
6	51612.50043
7	49212.51936
8	47081.47622
9	45161.57328
10	43394.80933
11	41734.73791
12	40302.83184
13	38757.16562
14	37416.84509
15	36162.33045
16	34840.67335
17	33868.89962
18	33172.77092
19	32124.25715
20	31251.96245
21	30360.48494
22	29863.18783
23	29152.65074
24	28593.45847
25	28144.20253
26	27617.10836
27	27161.93307
28	26648.6219
29	26185.77609
30	25688.23096
31	25274.16653
32	24880.47301
33	24478.62234
34	24208.44072
35	23954.65026
36	23620.71544
37	23350.50624
38	23025.82363
39	22779.13718
40	22528.48188
41	22463.45401
42	22396.23497
43	22305.61565
44	22103.28705
45	21928.47428
46	21773.31954
47	21601.97578
48	21431.08305
49	21286.68424
50	21076.79826
51	20948.51351
52	20797.10498
53	20624.37701
54	20580.80022
55	20357.99427
56	20220.47246
57	20086.78173
58	19901.41458
59	19720.48422
60	19608.82425
61	19488.39124
62	19341.76499
63	19232.2703
64	19076.33126
65	18956.86733
66	18820.97925
67	18735.11173
68	18582.60359
69	18453.0962
70	18340.51154
71	18157.35058
72	18030.48846
73	17985.22934
74	17897.35551
75	17788.3933
76	17679.73096
77	17571.88827
78	17489.10949
79	17409.5824
80	17373.19087
81	17277.04054
82	17132.33825
83	17068.53247
84	17012.32942
85	16983.91708
86	16953.63946
87	16878.96361
88	16823.11392
89	16765.0896
90	16677.44572
91	16603.19355
92	16583.02585
93	16469.42545
94	16450.68618
95	16352.12544
96	16302.49613
97	16218.10077
98	16154.77658
99	16134.43009
100	16082.00512
101	15965.03221
102	15860.56185
103	15760.68742
104	15654.42556
105	15545.5069
106	15457.3156
107	15442.38311
108	15344.30404
109	15251.14399
110	15239.76754
111	15172.56901
112	15161.64173
113	15079.27837
114	15019.65598
115	14884.7738
116	14781.13233
117	14686.65494
118	14564.21373
119	14482.07491
120	14403.89267
121	14339.27367
122	14275.10171
123	14184.64841
124	14132.40341
125	14043.80264
126	14002.54133
127	13888.38277
128	13794.38565
129	13743.53631
130	13660.02381
131	13579.3508
132	13526.79631
133	13459.04715
134	13416.95332
135	13368.53988
136	13300.6545
137	13242.64703
138	13147.07766
139	13077.17152
140	13058.0306
141	13050.48015
142	12974.61475
143	12951.97211
144	12907.03791
145	12888.79028
146	12859.66157
147	12773.42867
148	12720.50307
149	12708.53186
150	12664.02358
151	12648.21201
152	12634.15
153	12620.47454
154	12555.36044
