iter	Passed	Remaining
0	150	150603
1	153	76411
2	155	51589
3	157	39186
4	159	31760
5	162	26879
6	165	23465
7	168	20864
8	171	18829
9	173	17179
10	175	15803
11	178	14680
12	180	13721
13	182	12885
14	185	12172
15	187	11541
16	190	10995
17	192	10517
18	195	10111
19	198	9748
20	201	9409
21	204	9081
22	206	8791
23	209	8523
24	212	8297
25	215	8082
26	218	7874
27	221	7677
28	224	7508
29	227	7361
30	230	7203
31	233	7055
32	235	6914
33	238	6782
34	241	6653
35	243	6531
36	246	6414
37	249	6304
38	251	6199
39	255	6124
40	258	6036
41	260	5951
42	265	5901
43	267	5821
44	270	5743
45	273	5667
46	275	5591
47	278	5528
48	282	5478
49	285	5424
50	288	5363
51	290	5303
52	293	5241
53	296	5202
54	300	5160
55	304	5126
56	307	5081
57	310	5047
58	313	5007
59	316	4961
60	319	4912
61	321	4865
62	324	4823
63	327	4789
64	330	4755
65	333	4714
66	335	4671
67	337	4630
68	340	4600
69	343	4560
70	345	4522
71	348	4485
72	350	4447
73	352	4410
74	356	4400
75	361	4393
76	364	4364
77	366	4334
78	369	4304
79	371	4272
80	373	4241
81	376	4212
82	378	4183
83	380	4153
84	383	4126
85	385	4097
86	387	4067
87	390	4043
88	393	4023
89	396	4005
90	399	3989
91	402	3973
92	407	3972
93	410	3958
94	413	3939
95	416	3918
96	418	3897
97	422	3887
98	425	3871
99	428	3854
100	430	3834
101	433	3814
102	436	3800
103	439	3787
104	442	3772
105	445	3757
106	448	3739
107	451	3725
108	454	3714
109	457	3700
110	459	3683
111	462	3666
112	465	3656
113	470	3656
114	473	3647
115	476	3635
116	480	3623
117	483	3613
118	487	3607
119	489	3593
120	492	3579
121	495	3569
122	500	3565
123	503	3559
124	506	3545
125	509	3532
126	512	3525
127	516	3521
128	519	3508
129	522	3494
130	524	3482
131	527	3471
132	530	3460
133	533	3449
134	536	3437
135	539	3428
136	542	3419
137	546	3412
138	549	3406
139	552	3394
140	555	3383
141	557	3371
142	560	3361
143	563	3351
144	566	3340
145	569	3333
146	572	3324
147	575	3313
148	578	3302
149	581	3294
150	585	3290
151	588	3284
152	592	3278
153	595	3272
154	598	3265
155	602	3260
156	605	3252
157	608	3240
158	611	3232
159	613	3221
160	616	3212
161	619	3202
162	622	3199
163	626	3193
164	629	3184
165	631	3174
166	634	3164
167	636	3154
168	639	3143
169	644	3144
170	648	3143
171	651	3134
172	653	3125
173	656	3115
174	659	3106
175	661	3098
176	664	3087
177	666	3077
178	668	3066
179	676	3083
180	679	3074
181	683	3070
182	686	3064
183	689	3056
184	692	3049
185	695	3044
186	698	3035
187	700	3025
188	703	3016
189	705	3008
190	708	2999
191	710	2989
192	712	2978
193	714	2967
194	716	2956
195	718	2946
196	720	2936
197	722	2926
198	724	2916
199	726	2905
200	728	2895
201	730	2885
202	732	2875
203	734	2865
204	736	2857
205	739	2848
206	741	2839
207	743	2830
208	745	2821
209	747	2812
210	749	2802
211	751	2793
212	753	2784
213	755	2775
214	757	2765
215	759	2756
216	761	2747
217	763	2738
218	765	2729
219	767	2722
220	769	2713
221	772	2705
222	773	2696
223	775	2688
224	777	2679
225	779	2670
226	782	2665
227	785	2658
228	787	2651
229	790	2645
230	793	2641
231	796	2635
232	798	2629
233	801	2623
234	804	2618
235	806	2612
236	809	2605
237	811	2598
238	814	2592
239	816	2586
240	819	2579
241	821	2572
242	823	2565
243	825	2558
244	828	2551
245	830	2545
246	832	2539
247	835	2532
248	837	2524
249	839	2517
250	841	2512
251	845	2510
252	848	2504
253	850	2499
254	853	2492
255	855	2485
256	857	2478
257	859	2472
258	862	2466
259	864	2460
260	866	2453
261	868	2447
262	870	2439
263	872	2433
264	874	2426
265	877	2420
266	879	2414
267	882	2410
268	884	2404
269	887	2398
270	889	2393
271	891	2387
272	894	2381
273	897	2377
274	899	2370
275	901	2364
276	903	2357
277	905	2352
278	908	2346
279	910	2340
280	912	2334
281	914	2328
282	916	2321
283	918	2315
284	920	2309
285	922	2303
286	924	2296
287	926	2290
288	928	2284
289	930	2278
290	932	2271
291	934	2266
292	937	2262
293	940	2258
294	942	2253
295	945	2247
296	947	2242
297	949	2237
298	952	2232
299	954	2226
300	956	2220
301	958	2214
302	960	2208
303	962	2202
304	964	2197
305	966	2191
306	968	2185
307	970	2179
308	972	2174
309	974	2168
310	976	2163
311	978	2157
312	980	2152
313	983	2147
314	985	2143
315	987	2138
316	990	2134
317	993	2130
318	996	2126
319	998	2122
320	1001	2117
321	1003	2112
322	1005	2107
323	1007	2102
324	1010	2098
325	1012	2093
326	1015	2089
327	1017	2085
328	1020	2080
329	1022	2075
330	1024	2070
331	1027	2067
332	1029	2062
333	1032	2058
334	1034	2053
335	1036	2048
336	1038	2043
337	1042	2041
338	1044	2037
339	1047	2032
340	1049	2027
341	1051	2023
342	1053	2018
343	1056	2014
344	1059	2010
345	1061	2006
346	1063	2002
347	1066	1997
348	1068	1992
349	1070	1988
350	1073	1985
351	1076	1981
352	1078	1976
353	1080	1971
354	1082	1966
355	1084	1961
356	1086	1957
357	1089	1953
358	1091	1949
359	1094	1944
360	1096	1940
361	1097	1935
362	1099	1930
363	1102	1926
364	1105	1922
365	1107	1918
366	1109	1913
367	1111	1908
368	1113	1903
369	1115	1898
370	1117	1895
371	1121	1892
372	1123	1889
373	1126	1885
374	1128	1881
375	1130	1876
376	1133	1872
377	1135	1868
378	1138	1864
379	1140	1860
380	1142	1856
381	1144	1852
382	1147	1848
383	1149	1844
384	1151	1839
385	1153	1835
386	1156	1831
387	1158	1826
388	1160	1822
389	1162	1819
390	1165	1814
391	1167	1810
392	1169	1806
393	1171	1802
394	1174	1798
395	1176	1794
396	1179	1791
397	1181	1787
398	1184	1783
399	1186	1779
400	1188	1776
401	1191	1772
402	1193	1768
403	1196	1764
404	1198	1761
405	1201	1757
406	1203	1753
407	1205	1749
408	1208	1745
409	1210	1741
410	1212	1737
411	1214	1733
412	1216	1729
413	1218	1725
414	1220	1720
415	1223	1716
416	1225	1713
417	1227	1709
418	1229	1705
419	1231	1701
420	1233	1697
421	1235	1692
422	1238	1689
423	1240	1685
424	1242	1681
425	1244	1677
426	1246	1673
427	1249	1669
428	1251	1665
429	1253	1662
430	1256	1658
431	1258	1655
432	1261	1651
433	1263	1647
434	1265	1643
435	1268	1640
436	1270	1637
437	1273	1633
438	1275	1629
439	1277	1626
440	1280	1622
441	1282	1619
442	1284	1615
443	1286	1611
444	1288	1607
445	1290	1603
446	1292	1599
447	1294	1595
448	1297	1592
449	1299	1588
450	1301	1584
451	1303	1580
452	1305	1576
453	1307	1572
454	1309	1568
455	1311	1565
456	1313	1561
457	1316	1557
458	1318	1553
459	1320	1549
460	1322	1545
461	1324	1541
462	1326	1538
463	1329	1535
464	1332	1533
465	1334	1529
466	1336	1525
467	1338	1522
468	1340	1518
469	1342	1514
470	1345	1511
471	1347	1507
472	1349	1503
473	1351	1499
474	1353	1495
475	1355	1492
476	1357	1488
477	1359	1484
478	1361	1481
479	1363	1477
480	1365	1473
481	1367	1469
482	1369	1466
483	1371	1462
484	1373	1458
485	1376	1456
486	1379	1452
487	1381	1449
488	1384	1446
489	1386	1443
490	1389	1440
491	1392	1437
492	1394	1434
493	1397	1431
494	1399	1428
495	1402	1424
496	1404	1421
497	1407	1418
498	1410	1415
499	1412	1412
500	1415	1409
501	1417	1406
502	1420	1403
503	1422	1400
504	1425	1397
505	1427	1394
506	1430	1390
507	1432	1387
508	1434	1384
509	1437	1380
510	1440	1378
511	1442	1375
512	1445	1371
513	1447	1368
514	1449	1365
515	1452	1362
516	1455	1359
517	1458	1356
518	1460	1353
519	1463	1350
520	1466	1347
521	1468	1344
522	1472	1342
523	1474	1339
524	1477	1336
525	1479	1333
526	1481	1329
527	1484	1326
528	1486	1323
529	1488	1320
530	1490	1316
531	1492	1313
532	1495	1309
533	1498	1307
534	1500	1304
535	1503	1301
536	1505	1297
537	1507	1294
538	1509	1290
539	1511	1287
540	1513	1283
541	1515	1280
542	1517	1276
543	1519	1273
544	1521	1270
545	1523	1266
546	1525	1263
547	1527	1259
548	1529	1256
549	1531	1253
550	1533	1249
551	1535	1246
552	1537	1242
553	1539	1239
554	1541	1235
555	1543	1232
556	1545	1229
557	1547	1225
558	1549	1222
559	1551	1219
560	1553	1215
561	1555	1212
562	1557	1208
563	1559	1205
564	1561	1202
565	1563	1198
566	1565	1195
567	1567	1192
568	1569	1188
569	1571	1185
570	1574	1182
571	1576	1179
572	1579	1176
573	1582	1174
574	1584	1171
575	1587	1168
576	1590	1165
577	1592	1162
578	1594	1159
579	1597	1156
580	1599	1153
581	1603	1151
582	1607	1149
583	1610	1146
584	1612	1143
585	1615	1141
586	1617	1138
587	1620	1135
588	1623	1132
589	1625	1129
590	1627	1126
591	1629	1123
592	1632	1120
593	1635	1117
594	1637	1114
595	1639	1111
596	1642	1108
597	1644	1105
598	1647	1102
599	1649	1099
600	1652	1097
601	1655	1094
602	1657	1091
603	1659	1087
604	1662	1085
605	1664	1082
606	1667	1079
607	1669	1076
608	1671	1072
609	1673	1069
610	1675	1066
611	1677	1063
612	1679	1060
613	1681	1057
614	1683	1054
615	1685	1050
616	1687	1047
617	1689	1044
618	1692	1041
619	1694	1038
620	1696	1035
621	1698	1032
622	1700	1029
623	1702	1025
624	1704	1022
625	1706	1019
626	1709	1016
627	1711	1013
628	1713	1010
629	1716	1007
630	1718	1004
631	1720	1001
632	1722	998
633	1724	995
634	1726	992
635	1728	989
636	1730	986
637	1732	983
638	1735	980
639	1737	977
640	1739	974
641	1741	971
642	1743	968
643	1745	964
644	1747	961
645	1750	959
646	1752	956
647	1754	953
648	1757	950
649	1759	947
650	1761	944
651	1763	941
652	1765	938
653	1768	935
654	1771	932
655	1773	930
656	1776	927
657	1779	925
658	1782	922
659	1785	919
660	1789	917
661	1792	914
662	1795	912
663	1797	909
664	1800	906
665	1802	904
666	1805	901
667	1808	898
668	1811	896
669	1814	893
670	1818	891
671	1820	888
672	1823	886
673	1825	883
674	1828	880
675	1831	877
676	1833	874
677	1836	872
678	1838	869
679	1842	866
680	1844	864
681	1847	861
682	1849	858
683	1852	855
684	1856	853
685	1858	850
686	1862	848
687	1864	845
688	1868	843
689	1870	840
690	1874	838
691	1877	835
692	1880	833
693	1883	830
694	1887	828
695	1889	825
696	1892	822
697	1895	820
698	1898	817
699	1902	815
700	1904	812
701	1907	809
702	1910	806
703	1913	804
704	1916	802
705	1920	799
706	1923	797
707	1925	794
708	1928	791
709	1930	788
710	1934	786
711	1936	783
712	1939	780
713	1942	777
714	1944	775
715	1947	772
716	1950	769
717	1953	767
718	1955	764
719	1958	761
720	1961	758
721	1965	756
722	1968	754
723	1971	751
724	1974	748
725	1977	746
726	1980	743
727	1983	741
728	1986	738
729	1989	735
730	1993	733
731	1997	731
732	1999	728
733	2003	726
734	2006	723
735	2009	720
736	2013	718
737	2016	716
738	2019	713
739	2023	710
740	2027	708
741	2030	705
742	2033	703
743	2037	700
744	2039	698
745	2043	695
746	2046	692
747	2049	690
748	2051	687
749	2054	684
750	2057	682
751	2060	679
752	2063	676
753	2065	673
754	2068	671
755	2071	668
756	2075	666
757	2077	663
758	2080	660
759	2082	657
760	2087	655
761	2092	653
762	2095	650
763	2098	648
764	2101	645
765	2105	643
766	2108	640
767	2111	637
768	2115	635
769	2119	633
770	2122	630
771	2126	627
772	2129	625
773	2132	622
774	2135	619
775	2138	617
776	2141	614
777	2143	611
778	2147	609
779	2149	606
780	2153	603
781	2156	601
782	2159	598
783	2163	596
784	2165	593
785	2169	590
786	2172	587
787	2175	585
788	2178	582
789	2181	579
790	2184	577
791	2186	574
792	2189	571
793	2192	568
794	2195	566
795	2197	563
796	2200	560
797	2203	557
798	2206	555
799	2209	552
800	2211	549
801	2213	546
802	2216	543
803	2218	540
804	2221	538
805	2223	535
806	2225	532
807	2228	529
808	2230	526
809	2232	523
810	2236	521
811	2238	518
812	2240	515
813	2242	512
814	2244	509
815	2246	506
816	2249	503
817	2251	500
818	2253	498
819	2255	495
820	2257	492
821	2259	489
822	2261	486
823	2264	483
824	2266	480
825	2268	477
826	2270	474
827	2272	472
828	2274	469
829	2276	466
830	2278	463
831	2281	460
832	2283	457
833	2285	454
834	2287	451
835	2289	449
836	2291	446
837	2293	443
838	2297	440
839	2299	438
840	2302	435
841	2305	432
842	2307	429
843	2309	426
844	2311	424
845	2313	421
846	2315	418
847	2317	415
848	2319	412
849	2321	409
850	2323	406
851	2325	403
852	2327	401
853	2329	398
854	2331	395
855	2333	392
856	2336	389
857	2337	386
858	2339	384
859	2341	381
860	2344	378
861	2345	375
862	2347	372
863	2349	369
864	2351	367
865	2353	364
866	2356	361
867	2358	358
868	2361	355
869	2363	353
870	2365	350
871	2368	347
872	2370	344
873	2373	342
874	2375	339
875	2378	336
876	2380	333
877	2382	331
878	2384	328
879	2386	325
880	2389	322
881	2392	320
882	2394	317
883	2396	314
884	2399	311
885	2401	308
886	2403	306
887	2406	303
888	2408	300
889	2411	298
890	2413	295
891	2415	292
892	2417	289
893	2419	286
894	2422	284
895	2424	281
896	2426	278
897	2428	275
898	2430	273
899	2432	270
900	2435	267
901	2437	264
902	2440	262
903	2442	259
904	2444	256
905	2446	253
906	2448	251
907	2450	248
908	2453	245
909	2455	242
910	2457	240
911	2459	237
912	2461	234
913	2463	231
914	2466	229
915	2469	226
916	2471	223
917	2473	220
918	2475	218
919	2477	215
920	2479	212
921	2482	209
922	2484	207
923	2486	204
924	2488	201
925	2490	199
926	2492	196
927	2494	193
928	2496	190
929	2498	188
930	2500	185
931	2502	182
932	2505	179
933	2507	177
934	2509	174
935	2511	171
936	2513	168
937	2515	166
938	2517	163
939	2519	160
940	2521	158
941	2523	155
942	2525	152
943	2527	149
944	2529	147
945	2531	144
946	2533	141
947	2535	139
948	2537	136
949	2539	133
950	2541	130
951	2543	128
952	2545	125
953	2547	122
954	2549	120
955	2551	117
956	2553	114
957	2556	112
958	2559	109
959	2562	106
960	2565	104
961	2568	101
962	2570	98
963	2573	96
964	2576	93
965	2579	90
966	2582	88
967	2584	85
968	2587	82
969	2589	80
970	2592	77
971	2594	74
972	2596	72
973	2599	69
974	2602	66
975	2604	64
976	2607	61
977	2609	58
978	2611	56
979	2614	53
980	2616	50
981	2619	48
982	2621	45
983	2623	42
984	2626	39
985	2628	37
986	2630	34
987	2633	31
988	2635	29
989	2637	26
990	2639	23
991	2641	21
992	2644	18
993	2647	15
994	2649	13
995	2652	10
996	2654	7
997	2656	5
998	2658	2
999	2660	0
